ABW,Aruba,North America;
AFG,Afghanistan,Asia;
AGO,Angola,Africa;
AIA,Anguilla,North America;
ALB,Albania,Europe;
AND,Andorra,Europe;
ANT,Netherlands Antilles,North America;
ARE,United Arab Emirates,Asia;
ARG,Argentina,South America;
ARM,Armenia,Asia;
ASM,American Samoa,Oceania;
ATA,Antarctica,Antarctica;
ATF,French Southern territories,Antarctica;
ATG,Antigua and Barbuda,North America;
AUS,Australia,Oceania;
AUT,Austria,Europe;
AZE,Azerbaijan,Asia;
BDI,Burundi,Africa;
BEL,Belgium,Europe;
BEN,Benin,Africa;
BFA,Burkina Faso,Africa;
BGD,Bangladesh,Asia;
BGR,Bulgaria,Europe;
BHR,Bahrain,Asia;
BHS,Bahamas,North America;
BIH,Bosnia and Herzegovina,Europe;
BLR,Belarus,Europe;
BLZ,Belize,North America;
BMU,Bermuda,North America;
BOL,Bolivia,South America;
BRA,Brazil,South America;
BRB,Barbados,North America;
BRN,Brunei,Asia;
BTN,Bhutan,Asia;
BVT,Bouvet Island,Antarctica;
BWA,Botswana,Africa;
CAF,Central African Republic,Africa;
CAN,Canada,North America;
CCK,Cocos (Keeling) Islands,Oceania;
CHE,Switzerland,Europe;
CHL,Chile,South America;
CHN,China,Asia;
CIV,C�te d�Ivoire,Africa;
CMR,Cameroon,Africa;
COD,Congo\, The Democratic Republic of the,Africa;
COG,Congo,Africa;
COK,Cook Islands,Oceania;
COL,Colombia,South America;
COM,Comoros,Africa;
CPV,Cape Verde,Africa;
CRI,Costa Rica,North America;
CUB,Cuba,North America;
CXR,Christmas Island,Oceania;
CYM,Cayman Islands,North America;
CYP,Cyprus,Asia;
CZE,Czech Republic,Europe;
DEU,Germany,Europe;
DJI,Djibouti,Africa;
DMA,Dominica,North America;
DNK,Denmark,Europe;
DOM,Dominican Republic,North America;
DZA,Algeria,Africa;
ECU,Ecuador,South America;
EGY,Egypt,Africa;
ERI,Eritrea,Africa;
ESH,Western Sahara,Africa;
ESP,Spain,Europe;
EST,Estonia,Europe;
ETH,Ethiopia,Africa;
FIN,Finland,Europe;
FJI,Fiji Islands,Oceania;
FLK,Falkland Islands,South America;
FRA,France,Europe;
FRO,Faroe Islands,Europe;
FSM,Micronesia\, Federated States of,Oceania;
GAB,Gabon,Africa;
GBR,United Kingdom,Europe;
GEO,Georgia,Asia;
GHA,Ghana,Africa;
GIB,Gibraltar,Europe;
GIN,Guinea,Africa;
GLP,Guadeloupe,North America;
GMB,Gambia,Africa;
GNB,Guinea-Bissau,Africa;
GNQ,Equatorial Guinea,Africa;
GRC,Greece,Europe;
GRD,Grenada,North America;
GRL,Greenland,North America;
GTM,Guatemala,North America;
GUF,French Guiana,South America;
GUM,Guam,Oceania;
GUY,Guyana,South America;
HKG,Hong Kong,Asia;
HMD,Heard Island and McDonald Islands,Antarctica;
HND,Honduras,North America;
HRV,Croatia,Europe;
HTI,Haiti,North America;
HUN,Hungary,Europe;
IDN,Indonesia,Asia;
IND,India,Asia;
IOT,British Indian Ocean Territory,Africa;
IRL,Ireland,Europe;
IRN,Iran,Asia;
IRQ,Iraq,Asia;
ISL,Iceland,Europe;
ISR,Israel,Asia;
ITA,Italy,Europe;
JAM,Jamaica,North America;
JOR,Jordan,Asia;
JPN,Japan,Asia;
KAZ,Kazakstan,Asia;
KEN,Kenya,Africa;
KGZ,Kyrgyzstan,Asia;
KHM,Cambodia,Asia;
KIR,Kiribati,Oceania;
KNA,Saint Kitts and Nevis,North America;
KOR,South Korea,Asia;
KWT,Kuwait,Asia;
LAO,Laos,Asia;
LBN,Lebanon,Asia;
LBR,Liberia,Africa;
LBY,Libyan Arab Jamahiriya,Africa;
LCA,Saint Lucia,North America;
LIE,Liechtenstein,Europe;
LKA,Sri Lanka,Asia;
LSO,Lesotho,Africa;
LTU,Lithuania,Europe;
LUX,Luxembourg,Europe;
LVA,Latvia,Europe;
MAC,Macao,Asia;
MAR,Morocco,Africa;
MCO,Monaco,Europe;
MDA,Moldova,Europe;
MDG,Madagascar,Africa;
MDV,Maldives,Asia;
MEX,Mexico,North America;
MHL,Marshall Islands,Oceania;
MKD,Macedonia,Europe;
MLI,Mali,Africa;
MLT,Malta,Europe;
MMR,Myanmar,Asia;
MNG,Mongolia,Asia;
MNP,Northern Mariana Islands,Oceania;
MOZ,Mozambique,Africa;
MRT,Mauritania,Africa;
MSR,Montserrat,North America;
MTQ,Martinique,North America;
MUS,Mauritius,Africa;
MWI,Malawi,Africa;
MYS,Malaysia,Asia;
MYT,Mayotte,Africa;
